,datetime,latitude,longitude,temperature
640917,2021-01-01 04:59:00,38.847,-77.035,
225543,2021-01-01 04:59:00,38.504,-77.305,
593435,2021-01-01 04:59:00,38.504,-77.305,
862514,2021-01-01 05:00:00,38.87,-77.02,5.2
1288687,2021-01-01 05:15:00,38.586,-77.711,5.0
708971,2021-01-01 05:15:00,38.01,-77.97,4.2
915387,2021-01-01 05:15:00,38.267,-77.449,5.7
507990,2021-01-01 05:15:00,38.527,-77.859,5.0
1323797,2021-01-01 05:15:00,38.398,-77.456,5.5
125042,2021-01-01 05:35:00,38.01,-77.97,4.2
117533,2021-01-01 05:35:00,38.267,-77.449,5.6
649987,2021-01-01 05:35:00,38.398,-77.456,5.5
488807,2021-01-01 05:35:00,38.527,-77.859,5.0
91790,2021-01-01 05:35:00,38.586,-77.711,5.0
913775,2021-01-01 05:52:00,38.935,-77.447,3.3
640692,2021-01-01 05:52:00,38.847,-77.035,5.0
555033,2021-01-01 05:55:00,38.267,-77.449,5.5
108789,2021-01-01 05:55:00,38.527,-77.859,5.0
932517,2021-01-01 05:55:00,38.586,-77.711,5.0
1323457,2021-01-01 05:55:00,38.398,-77.456,5.3
495784,2021-01-01 05:55:00,38.01,-77.97,4.2
289947,2021-01-01 05:56:00,38.721,-77.515,4.4
748830,2021-01-01 05:56:00,38.504,-77.305,6.1
201267,2021-01-01 05:56:00,38.717,-77.183,5.0
193102,2021-01-01 06:00:00,38.95,-77.45,3.3
634969,2021-01-01 06:00:00,38.87,-77.02,4.7
189907,2021-01-01 06:00:00,38.85,-77.033,5.0
972006,2021-01-01 06:15:00,38.398,-77.456,5.3
489428,2021-01-01 06:15:00,38.527,-77.859,4.8
742726,2021-01-01 06:15:00,38.586,-77.711,5.0
560572,2021-01-01 06:15:00,38.01,-77.97,4.0
1328351,2021-01-01 06:15:00,38.267,-77.449,5.3
452297,2021-01-01 06:35:00,38.527,-77.859,4.7
741940,2021-01-01 06:35:00,38.586,-77.711,4.7
648519,2021-01-01 06:35:00,38.398,-77.456,5.2
488630,2021-01-01 06:35:00,38.267,-77.449,5.3
710935,2021-01-01 06:35:00,38.01,-77.97,4.1
639053,2021-01-01 06:52:00,38.847,-77.035,3.9
915834,2021-01-01 06:52:00,38.935,-77.447,2.8
815926,2021-01-01 06:55:00,38.527,-77.859,4.6
1326842,2021-01-01 06:55:00,38.398,-77.456,5.1
116732,2021-01-01 06:55:00,38.267,-77.449,5.3
93290,2021-01-01 06:55:00,38.586,-77.711,4.6
1338238,2021-01-01 06:55:00,38.01,-77.97,4.0
1115719,2021-01-01 06:56:00,38.504,-77.305,5.6
199256,2021-01-01 06:56:00,38.717,-77.183,4.8
291148,2021-01-01 06:56:00,38.721,-77.515,3.9
1170236,2021-01-01 07:00:00,38.87,-77.02,3.9
707805,2021-01-01 07:15:00,38.01,-77.97,3.9
452059,2021-01-01 07:15:00,38.527,-77.859,4.5
115291,2021-01-01 07:15:00,38.267,-77.449,5.2
94384,2021-01-01 07:15:00,38.398,-77.456,5.1
88811,2021-01-01 07:15:00,38.586,-77.711,4.5
493060,2021-01-01 07:35:00,38.527,-77.859,4.5
972818,2021-01-01 07:35:00,38.398,-77.456,5.1
497288,2021-01-01 07:35:00,38.01,-77.97,3.9
706149,2021-01-01 07:35:00,38.267,-77.449,5.2
960345,2021-01-01 07:35:00,38.586,-77.711,4.5
638808,2021-01-01 07:52:00,38.847,-77.035,3.9
193627,2021-01-01 07:52:00,38.935,-77.447,2.8
